Mês,Código NCM,Descrição NCM,Países,UF do Produto,Via,Valor_USD,Kg_Liquido,Ano,Mes_Num,Preco_kg
01. Janeiro,3011900,Outros peixes ornamentais vivos,Países Baixos (Holanda),Ceará,AEREA,2723,20,2023,1,136.15
01. Janeiro,3011900,Outros peixes ornamentais vivos,Japão,Ceará,AEREA,2461,10,2023,1,246.1
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Taiwan (Formosa),Ceará,AEREA,3806,29,2023,2,131.24137931034483
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Reino Unido,Ceará,AEREA,2976,10,2023,2,297.6
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Portugal,Ceará,AEREA,3000,10,2023,2,300.0
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Países Baixos (Holanda),Ceará,AEREA,4407,29,2023,2,151.9655172413793
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Japão,Ceará,AEREA,2499,10,2023,2,249.9
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Israel,Ceará,AEREA,2694,27,2023,2,99.77777777777777
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Canadá,Ceará,AEREA,2271,21,2023,2,108.14285714285714
03. Março,3011900,Outros peixes ornamentais vivos,Taiwan (Formosa),Espírito Santo,AEREA,2690,50,2023,3,53.8
03. Março,3011900,Outros peixes ornamentais vivos,Taiwan (Formosa),Ceará,AEREA,2792,22,2023,3,126.9090909090909
03. Março,3011900,Outros peixes ornamentais vivos,Tailândia,Ceará,AEREA,2128,19,2023,3,112.0
03. Março,3011900,Outros peixes ornamentais vivos,Reino Unido,Ceará,AEREA,3281,10,2023,3,328.1
03. Março,3011900,Outros peixes ornamentais vivos,Israel,Ceará,AEREA,1280,8,2023,3,160.0
03. Março,3011900,Outros peixes ornamentais vivos,Estados Unidos,Espírito Santo,AEREA,6257,50,2023,3,125.14
03. Março,3011900,Outros peixes ornamentais vivos,Coreia do Sul,Rio de Janeiro,AEREA,1980,7,2023,3,282.85714285714283
03. Março,3011900,Outros peixes ornamentais vivos,Coreia do Sul,Ceará,AEREA,3595,31,2023,3,115.96774193548387
04. Abril,3011900,Outros peixes ornamentais vivos,Sri Lanka,Rio de Janeiro,AEREA,7691,25,2023,4,307.64
04. Abril,3011900,Outros peixes ornamentais vivos,Japão,Ceará,AEREA,5064,20,2023,4,253.2
04. Abril,3011900,Outros peixes ornamentais vivos,Estados Unidos,Espírito Santo,AEREA,20796,112,2023,4,185.67857142857142
05. Maio,3011900,Outros peixes ornamentais vivos,Reino Unido,Ceará,AEREA,3122,10,2023,5,312.2
05. Maio,3011900,Outros peixes ornamentais vivos,Portugal,Ceará,AEREA,2543,10,2023,5,254.3
05. Maio,3011900,Outros peixes ornamentais vivos,Japão,Ceará,AEREA,2258,10,2023,5,225.8
05. Maio,3011900,Outros peixes ornamentais vivos,Israel,Ceará,AEREA,1485,10,2023,5,148.5
06. Junho,3011900,Outros peixes ornamentais vivos,Sri Lanka,Espírito Santo,AEREA,7420,50,2023,6,148.4
06. Junho,3011900,Outros peixes ornamentais vivos,Reino Unido,Ceará,AEREA,4007,5,2023,6,801.4
06. Junho,3011900,Outros peixes ornamentais vivos,Japão,Ceará,AEREA,1192,10,2023,6,119.2
07. Julho,3011900,Outros peixes ornamentais vivos,Taiwan (Formosa),Rio de Janeiro,AEREA,3649,33,2023,7,110.57575757575758
07. Julho,3011900,Outros peixes ornamentais vivos,Sri Lanka,Ceará,AEREA,8003,51,2023,7,156.92156862745097
07. Julho,3011900,Outros peixes ornamentais vivos,Israel,Ceará,AEREA,1653,14,2023,7,118.07142857142857
07. Julho,3011900,Outros peixes ornamentais vivos,Estados Unidos,Espírito Santo,AEREA,7070,2,2023,7,3535.0
07. Julho,3011900,Outros peixes ornamentais vivos,Estados Unidos,Ceará,AEREA,2670,3,2023,7,890.0
08. Agosto,3011900,Outros peixes ornamentais vivos,Portugal,Ceará,AEREA,3074,6,2023,8,512.3333333333334
08. Agosto,3011900,Outros peixes ornamentais vivos,Estados Unidos,Rio de Janeiro,AEREA,5497,38,2023,8,144.6578947368421
09. Setembro,3011900,Outros peixes ornamentais vivos,Reino Unido,Ceará,AEREA,2810,5,2023,9,562.0
09. Setembro,3011900,Outros peixes ornamentais vivos,Japão,Ceará,AEREA,2272,5,2023,9,454.4
09. Setembro,3011900,Outros peixes ornamentais vivos,Israel,Rio de Janeiro,AEREA,1553,18,2023,9,86.27777777777777
09. Setembro,3011900,Outros peixes ornamentais vivos,Hong Kong,Rio de Janeiro,AEREA,3939,38,2023,9,103.65789473684211
09. Setembro,3011900,Outros peixes ornamentais vivos,Coreia do Sul,Ceará,AEREA,2435,17,2023,9,143.23529411764707
11. Novembro,3011900,Outros peixes ornamentais vivos,Portugal,Espírito Santo,AEREA,2829,50,2023,11,56.58
11. Novembro,3011900,Outros peixes ornamentais vivos,Portugal,Ceará,AEREA,3127,5,2023,11,625.4
11. Novembro,3011900,Outros peixes ornamentais vivos,Estados Unidos,Espírito Santo,AEREA,3538,0,2023,11,
